record_type,plan_code,plan_name,source_page,age,age_band,sex,tobacco,base_rate,wp_rate,rate_basis,unit_basis,coverage_fixed,face_min,face_max,policy_fee_annual,volume_adjustment_annual,cv20_per_1000,note,quote_face_amount_input,quote_units_input,include_wp_flag,sold_as_policy_flag,units_derived,annual_premium_base,annual_premium_total,quarterly_total,mbd_base,mbd_total,monthly_direct_total
rate,PR,Preferred Life,23,64,,Male,TU,113.91,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,65,,Female,NTU,75.45,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,65,,Female,TU,93.83,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,65,,Male,NTU,93.95,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,65,,Male,TU,119.94,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,66,,Female,NTU,80.54,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,66,,Female,TU,99.39,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,66,,Male,NTU,99.68,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,66,,Male,TU,126.40,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,67,,Female,NTU,86.19,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,67,,Female,TU,105.34,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,67,,Male,NTU,105.80,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,67,,Male,TU,133.21,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,68,,Female,NTU,92.39,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,68,,Female,TU,111.67,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,68,,Male,NTU,112.36,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,68,,Male,TU,140.46,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,69,,Female,NTU,99.16,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,69,,Female,TU,118.48,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,69,,Male,NTU,119.39,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,69,,Male,TU,148.18,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,70,,Female,NTU,106.50,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,70,,Female,TU,125.81,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,70,,Male,NTU,127.00,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,70,,Male,TU,156.45,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,71,,Female,NTU,114.29,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,71,,Female,TU,133.67,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,71,,Male,NTU,135.14,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,71,,Male,TU,165.24,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,72,,Female,NTU,122.67,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,72,,Female,TU,142.08,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,72,,Male,NTU,143.85,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,72,,Male,TU,174.59,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,73,,Female,NTU,131.70,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,73,,Female,TU,150.99,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,73,,Male,NTU,153.14,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,73,,Male,TU,184.42,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,74,,Female,NTU,141.36,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,74,,Female,TU,160.42,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,74,,Male,NTU,162.97,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,74,,Male,TU,194.75,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,75,,Female,NTU,151.69,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,75,,Female,TU,170.34,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,75,,Male,NTU,173.32,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,75,,Male,TU,205.53,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,76,,Female,NTU,162.81,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,76,,Female,TU,180.76,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,76,,Male,NTU,184.23,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,76,,Male,TU,216.75,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,77,,Female,NTU,174.65,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,77,,Female,TU,191.77,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,77,,Male,NTU,195.80,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,77,,Male,TU,228.50,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,78,,Female,NTU,187.19,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,78,,Female,TU,203.51,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,78,,Male,NTU,208.11,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,78,,Male,TU,240.92,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,79,,Female,NTU,200.41,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,79,,Female,TU,216.06,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,79,,Male,NTU,221.34,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,79,,Male,TU,254.10,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,80,,Female,NTU,214.35,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,80,,Female,TU,229.07,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,80,,Male,NTU,235.03,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,PR,Preferred Life,23,80,,Male,TU,267.72,,annual_per_1000,per_$1000,,35000.00,59999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,0,,Female,NTU,3.34,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,0,,Male,NTU,3.72,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,1,,Female,NTU,3.50,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,1,,Male,NTU,3.90,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,2,,Female,NTU,3.65,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,2,,Male,NTU,4.06,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,3,,Female,NTU,3.80,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,3,,Male,NTU,4.25,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,4,,Female,NTU,3.99,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,4,,Male,NTU,4.46,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,5,,Female,NTU,4.19,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,5,,Male,NTU,4.67,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,6,,Female,NTU,4.40,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,6,,Male,NTU,4.89,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,7,,Female,NTU,4.58,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,7,,Male,NTU,5.12,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,8,,Female,NTU,4.81,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,8,,Male,NTU,5.38,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,9,,Female,NTU,5.04,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,9,,Male,NTU,5.63,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,10,,Female,NTU,5.29,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,10,,Male,NTU,5.90,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,11,,Female,NTU,5.58,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,11,,Male,NTU,6.21,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,12,,Female,NTU,5.89,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,12,,Male,NTU,6.51,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,13,,Female,NTU,6.21,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,13,,Male,NTU,6.87,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,14,,Female,NTU,6.54,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,14,,Male,NTU,7.22,,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,15,,Female,NTU,6.90,0.28,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,15,,Male,NTU,7.62,0.20,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,16,,Female,NTU,7.30,0.28,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,16,,Male,NTU,8.02,0.20,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,17,,Female,NTU,7.54,0.29,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,17,,Male,NTU,8.32,0.21,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,18,,Female,NTU,6.95,0.29,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,18,,Female,TU,8.73,0.32,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,18,,Male,NTU,7.73,0.20,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,18,,Male,TU,9.68,0.23,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,19,,Female,NTU,7.22,0.29,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,19,,Female,TU,9.05,0.34,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,19,,Male,NTU,8.00,0.21,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,19,,Male,TU,10.02,0.24,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,20,,Female,NTU,7.49,0.30,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,20,,Female,TU,9.40,0.34,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,20,,Male,NTU,8.30,0.21,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,20,,Male,TU,10.41,0.24,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,21,,Female,NTU,7.78,0.32,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,21,,Female,TU,9.73,0.35,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,21,,Male,NTU,8.57,0.23,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,21,,Male,TU,10.80,0.25,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,22,,Female,NTU,8.07,0.32,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,22,,Female,TU,10.11,0.37,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,22,,Male,NTU,8.94,0.23,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,22,,Male,TU,11.21,0.26,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,23,,Female,NTU,8.40,0.34,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,23,,Female,TU,10.49,0.39,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,23,,Male,NTU,9.27,0.24,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,23,,Male,TU,11.68,0.26,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,24,,Female,NTU,8.75,0.35,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,24,,Female,TU,10.94,0.40,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,24,,Male,NTU,9.64,0.25,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,24,,Male,TU,12.14,0.27,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,25,,Female,NTU,9.14,0.37,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,25,,Female,TU,11.42,0.42,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,25,,Male,NTU,10.06,0.25,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,25,,Male,TU,12.68,0.28,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,26,,Female,NTU,9.57,0.39,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,EX,Executive Life,24,26,,Female,TU,11.96,0.43,annual_per_1000,per_$1000,,60000.00,119999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
